pnr,age,gen,loss,music,empathy,associations,valence,arousal,happiness,sadness,scariness,peacefulness ,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14
0,25,Male,no,1,30,musical,4.13,4.75,3.25,1.44,2.13,2.88,D,C,E,D,C,D,B,C,D,C,B,B,C,D
1,31,Male,no,5,31,musical,6.13,4.5,3.25,1.94,0.63,3.75,E,B,E,C,C,D,B,E,D,C,E,C,C,D
2,31,Male,no,2,32,both,5.5,3.38,2.75,1.19,1.38,2.81,E,A,D,D,B,C,D,B,D,C,D,A,D,E
3,38,Other,no,4,49,musical,6.75,5,4.5,1.25,2.31,4.25,D,E,C,E,B,D,A,A,E,A,E,C,E,E
4,29,Male,no,1,42,musical,5.5,4.63,3.69,0.06,1.31,1.81,E,D,A,C,B,E,C,B,B,A,D,D,D,D
5,31,Female,no,0,49,musical,5.63,4.75,3.5,1,0.69,2.56,D,E,A,D,B,E,B,A,C,A,E,E,E,D
6,37,Female,no,3,54,imaginative,7.25,5.5,5.31,0.5,0.13,3.69,E,D,B,E,A,E,A,A,E,A,E,E,E,E
7,23,Female,no,5,42,imaginative,7.25,4.88,5.56,0.25,1.13,2.38,E,E,B,D,A,D,D,A,C,B,D,D,D,C
8,26,Female,no,5,47,musical,5.63,5,3.81,1.44,1.75,4.13,E,E,B,D,B,D,A,B,D,A,D,C,E,E
9,24,Male,no,0,26,imaginative,5.25,4.13,1.44,0.31,0,1.81,B,A,B,B,C,C,C,B,B,B,C,C,C,C
10,29,Female,no,0,22,no,8,5.38,2,1.75,2.88,1.63,A,C,A,A,C,C,D,A,A,C,D,C,A,A
11,36,Female,moderate,1,15,musical,5.63,6.88,3.88,0.75,2.69,2.69,D,C,D,A,E,D,D,B,A,C,A,A,A,A
12,30,Male,no,4,39,imaginative,6.5,5.88,4.88,1.19,1.38,3.94,D,C,D,D,B,D,C,B,D,B,D,E,D,D
13,29,Male,no,1,21,imaginative,5.63,6.25,4.06,4.5,1.19,4.44,C,D,C,C,E,C,B,C,B,C,B,B,A,A
14,54,Male,no,3,48,no,7.88,3.63,3.94,1.38,1.94,3.13,D,D,B,D,B,E,A,A,C,A,E,D,E,E
15,27,Female,no,3,46,no,7.13,5.75,6,1.75,1.56,4.25,E,E,B,E,B,D,B,B,D,B,E,C,E,D
16,28,Male,no,2,38,imaginative,5.75,4.5,2.94,2.38,2.38,3.31,C,D,B,E,B,D,A,B,B,B,D,C,C,C
17,32,Male,no,4,12,no,6.5,6.13,4.5,2.63,2.56,3.31,A,A,E,B,C,A,B,B,B,E,B,B,A,A
18,36,Male,no,5,47,no,4,3.13,2.38,2.19,0.25,3.38,C,E,C,E,B,E,A,A,D,B,E,D,D,E
19,34,Female,no,1,45,no,6.38,5,1.19,1,0.81,0.75,B,E,B,D,A,E,B,B,D,A,E,C,D,E
20,18,Female,no,1,41,musical,5.38,5.5,4.81,3.5,2.31,4.88,D,D,C,E,D,E,B,B,D,A,C,D,C,E
21,18,Male,no,3,47,musical,7.75,5.63,5.44,3.38,3.81,8.13,E,D,C,E,A,E,B,C,C,A,E,E,D,E
22,48,Female,no,1,39,both,6.38,7.63,5.25,2.25,1.88,2.06,C,C,A,E,A,E,B,A,D,A,B,B,C,B
23,47,Male,no,1,50,both,6.75,6.25,4.5,0.94,2,2.88,E,E,A,D,B,D,A,B,D,A,D,E,E,E
24,24,Male,no,2,25,musical,5.5,2.5,2.75,1.19,1.13,1.81,E,C,D,A,B,B,D,C,A,B,D,C,A,D
25,26,Female,no,2,53,both,6.13,5.38,4.56,3,1.5,1.31,D,E,A,E,C,E,A,A,E,A,E,E,E,E
26,24,Female,no,0,45,both,5.25,4,4.06,0.38,0.81,1.44,D,D,A,D,A,A,A,A,C,A,D,E,D,E
27,37,Female,no,1,36,both,7.5,5.38,4.75,3.19,1.25,5.56,E,E,A,A,A,E,E,A,A,A,E,C,A,C
28,27,Female,no,1,37,no,7,5.5,4.88,2.81,3.19,1.75,C,D,A,B,B,C,E,B,D,A,E,E,C,C
29,33,Female,no,1,44,no,6.13,5.13,4.75,1.5,0,4.31,D,E,A,C,A,E,B,A,C,A,E,C,C,C
30,24,Male,no,0,33,imaginative,5.13,6,3,1.63,3,2.88,E,B,B,D,C,E,B,C,B,B,C,C,B,C
31,37,Female,profound,1,41,both,8.13,8,7.38,2.56,3.38,6.38,E,B,D,E,B,E,E,A,E,C,E,E,C,E
32,59,Male,profound,1,46,no,7.13,2,6.31,1.19,1.19,6.75,C,A,C,E,B,E,A,A,E,B,E,E,E,E
33,46,Female,no,1,30,musical,8.75,8.25,7.5,0.13,0.25,6.25,E,D,B,B,C,D,C,C,B,D,C,C,B,D
34,40,Male,mild,3,25,no,4.75,6.25,2.56,1.94,2.5,1.5,D,B,C,C,D,D,D,B,B,B,D,C,A,A
35,30,Female,no,1,46,no,6.5,5.25,4.94,3,0.88,7.25,D,E,A,E,A,C,B,C,D,A,E,D,E,C
36,48,Male,no,3,50,imaginative,6.13,4.5,3.44,2,2.13,2.88,E,C,A,D,B,E,B,A,E,A,E,E,D,E
37,36,Male,no,4,44,both,8,5.75,4.38,2.13,1.75,3.94,E,E,B,E,C,C,B,A,E,B,D,C,D,D
38,47,Male,no,4,39,musical,6.13,5.25,4.13,2.75,1.5,2.25,D,C,B,D,B,E,B,C,B,B,D,E,D,C
39,62,Male,no,3,34,musical,6.75,3.75,4.56,0.38,1.69,3.19,C,A,B,D,B,D,A,D,D,B,C,C,C,D
40,60,Female,no,1,27,no,5.88,3.5,4.69,0.38,0.81,4.06,B,C,A,D,D,D,B,D,A,B,C,C,A,C
41,32,Male,no,5,43,both,5.75,5,3.5,2.56,2.31,1.81,E,D,B,E,B,E,B,B,C,A,D,D,C,C
42,27,Male,no,2,27,no,5.13,5.13,3.5,0.25,1.25,0.31,C,B,B,B,B,B,B,B,B,C,C,C,B,C
43,33,Male,no,4,37,musical,5.25,5,2.56,1.56,2.56,2.56,B,B,B,D,B,D,B,B,D,A,D,C,C,D
44,29,Male,no,4,44,both,6.25,6.63,6,2,3.5,2.75,E,D,B,C,A,D,B,A,C,A,D,E,C,D
45,32,Female,no,4,54,musical,6.13,5.5,2.31,1.56,1.5,1.81,E,E,A,E,A,E,A,A,D,A,E,E,D,E
46,30,Male,no,4,41,musical,5.88,6.38,3,0.94,3.06,1.75,D,C,A,C,D,E,B,A,C,A,C,E,C,E
47,34,Male,no,3,35,musical,7,3.88,5.13,0.31,1.75,3,D,B,C,E,B,D,A,E,B,B,B,E,E,C
48,24,Female,no,1,43,imaginative,5.13,6.63,3.06,2.13,2.94,1.75,D,D,B,E,B,D,B,C,D,B,C,D,E,E
49,28,Male,no,1,31,imaginative,4.88,6.75,4.38,2.94,4.88,1.31,D,C,C,B,D,D,B,D,D,B,C,B,C,E
50,27,Male,no,3,42,both,6,5.75,2.38,0.38,0.19,2.25,E,C,C,E,C,E,A,D,E,A,B,D,D,E
51,25,Male,no,2,32,musical,7.13,5.38,2.69,0.75,2,1.69,D,C,E,D,B,C,A,D,B,C,D,B,D,E
52,21,Female,no,1,32,no,4.5,4.75,4.06,1.56,2.63,4.25,D,C,B,B,B,D,B,A,C,D,C,D,B,B
53,56,Female,profound,1,28,both,5.63,3.75,5.81,3,0,4.38,C,C,C,C,C,C,C,C,C,C,C,C,C,C
54,50,Female,profound,1,31,both,6.13,5.75,4.75,3.88,2.81,2.75,D,D,D,C,B,D,C,B,B,A,C,C,B,B
